turn,player,budget,action1,action2,action3,action4,action5,action6
1,1,0,Collect frequency:2,Maintenance of water treatment facilities:false,Install water treatment facilities for every home:(P1%70;P2%66;P3%70;P4%74;)
1,2,0,Collect frequency:2,Maintenance of water treatment facilities:true
1,3,0,Collect frequency:2,Maintenance of water treatment facilities:true
1,4,7,Collect frequency:2,Maintenance of water treatment facilities:true
2,1,10,Collect frequency:4,Maintenance of water treatment facilities:true,Organise sensibilization events about waste sorting
2,2,9,Collect frequency:4,Maintenance of water treatment facilities:true,Trimestrial collective waste collection:low
2,3,10,Collect frequency:4,Maintenance of water treatment facilities:true,Help farmers to buy manure:low
2,4,3,Collect frequency:4,Maintenance of water treatment facilities:true,Trimestrial collective waste collection:high
3,1,0,Collect frequency:4,Maintenance of water treatment facilities:true,Trimestrial collective waste collection:high
3,2,9,Collect frequency:4,Maintenance of water treatment facilities:true,Help farmers to buy manure:low
3,3,14,Collect frequency:4,Maintenance of water treatment facilities:true,Help farmers to buy manure:low
3,4,4,Collect frequency:4,Maintenance of water treatment facilities:true,Help farmers to buy manure:high
